Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.008000,11.565500,90.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.968000,11.565500,90.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.163000,25.703000,-90.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",17.338000,25.703000,-90.000000,top
"C5","3.3uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.208000,21.073000,-90.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",36.518000,25.703000,90.000000,top
"C7","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",30.168000,25.703000,-90.000000,top
"C8","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.693000,32.218000,0.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.263000,35.258000,180.000000,top
"C10","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.693000,42.643000,0.000000,top
"C11","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",26.863000,51.223000,90.000000,top
"C12","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.263000,41.608000,180.000000,top
"C13","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",7.813000,25.703000,-90.000000,top
"C14","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",4.638000,25.703000,90.000000,top
"C15","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.263000,32.083000,180.000000,top
"C16","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.263000,44.783000,180.000000,top
"C17","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",30.038000,51.223000,90.000000,top
"C18","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.693000,35.893000,0.000000,top
"C19","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",33.343000,25.703000,-90.000000,top
"C21","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",20.643000,25.703000,-90.000000,top
"C22","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.818000,25.703000,-90.000000,top
"C23","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",57.028000,25.733000,90.000000,top
"C24","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",60.165000,25.733000,90.000000,top
"C26","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",8.633000,35.893000,0.000000,top
"C27","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.263000,38.433000,180.000000,top
"C28","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.818000,51.223000,90.000000,top
"C29","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.693000,39.168000,0.000000,top
"C30","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",26.993000,25.703000,-90.000000,top
"C31","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",63.302000,25.733000,90.000000,top
"C32","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.063000,60.023000,0.000000,top
"C33","100uF","CP_Elec_6.3x5.8",77.793000,17.478000,90.000000,top
"C34","100uF","CP_Elec_6.3x5.8",12.343000,58.093000,-90.000000,top
"C35","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-18.092000,103.838000,-90.000000,top
"C36","20pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",27.518000,54.893000,0.000000,top
"C37","20pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.708000,54.893000,180.000000,top
"C38","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-28.287000,69.093000,0.000000,top
"C39","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-32.687000,53.293000,180.000000,top
"C40","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-5.017000,64.425500,90.000000,top
"C41","22pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-8.497000,68.503000,0.000000,top
"C42","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-32.704500,69.103000,180.000000,top
"C43","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-28.269500,53.283000,0.000000,top
"C44","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-22.997000,68.723000,90.000000,top
"C45","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-28.247000,50.003000,0.000000,top
"C46","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-32.714500,34.233000,180.000000,top
"C47","20pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-4.957000,45.293000,90.000000,top
"C48","20pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-8.497000,49.033000,0.000000,top
"C49","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-32.664500,50.013000,180.000000,top
"C50","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-28.297000,34.223000,0.000000,top
"C51","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-22.947000,49.570500,90.000000,top
"C52","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-32.697000,15.153000,180.000000,top
"C53","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-28.287000,30.933000,0.000000,top
"C54","20pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-4.957000,26.243000,90.000000,top
