Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.008,11.5655,90,top
C2,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,18.968,11.5655,90,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,14.163,25.703,-90,top
C4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.338,25.703,-90,top
C5,3.3uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,14.208,21.073,-90,top
C6,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,36.518,25.703,90,top
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,30.168,25.703,-90,top
C8,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,39.693,32.218,0,top
C9,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,14.263,35.258,180,top
C10,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,39.693,42.643,0,top
C11,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,26.863,51.223,90,top
C12,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,14.263,41.608,180,top
C13,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,7.813,25.703,-90,top
C14,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.638,25.703,90,top
C15,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,14.263,32.083,180,top
C16,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,14.263,44.783,180,top
C17,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,30.038,51.223,90,top
C18,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,39.693,35.893,0,top
C19,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,33.343,25.703,-90,top
C21,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,20.643,25.703,-90,top
C22,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.818,25.703,-90,top
C23,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,57.028,25.733,90,top
C24,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.165,25.733,90,top
C26,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8.633,35.893,0,top
C27,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,14.263,38.433,180,top
C28,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.818,51.223,90,top
C29,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,39.693,39.168,0,top
C30,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,26.993,25.703,-90,top
C31,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.302,25.733,90,top
C32,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.063,60.023,0,top
C33,100uF,CP_Elec_6.3x5.8,77.793,17.478,90,top
C34,100uF,CP_Elec_6.3x5.8,12.343,58.093,-90,top
C35,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-18.092,103.838,-90,top
C36,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,27.518,54.893,0,top
C37,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.708,54.893,180,top
C38,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-28.287,69.093,0,top
C39,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.687,53.293,180,top
C40,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-5.017,64.4255,90,top
C41,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-8.497,68.503,0,top
C42,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.7045,69.103,180,top
C43,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-28.2695,53.283,0,top
C44,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-22.997,68.723,90,top
C45,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-28.247,50.003,0,top
C46,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.7145,34.233,180,top
C47,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-4.957,45.293,90,top
C48,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-8.497,49.033,0,top
C49,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.6645,50.013,180,top
C50,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-28.297,34.223,0,top
C51,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-22.947,49.5705,90,top
C52,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.697,15.153,180,top
C53,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-28.287,30.933,0,top
C54,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-4.957,26.243,90,top
C55,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-8.497,30.093,0,top
C56,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.7045,30.943,180,top
C57,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-28.2695,15.153,0,top
C58,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-23.017,30.413,90,top
C59,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-28.2695,88.243,0,top
C60,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.6545,72.433,180,top
C61,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-5.017,83.443,90,top
C62,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-8.497,87.0605,0,top
C63,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-32.687,88.253,180,top
C64,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-28.237,72.423,0,top
C65,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-22.957,87.793,90,top
C68,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.439,25.733,90,top
C69,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,69.576,25.733,90,top
C70,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,72.713,25.733,90,top
C71,100uF,CP_Elec_6.3x5.8,3.093,58.053,-90,top
C72,100uF,CP_Elec_6.3x5.8,68.268,17.478,90,top
